36,20,56045,40969,87223,62024,53,76,86703,104712,653,540,1
36,29,71612,66549,114499,103459,93,81,138029,145711,838,998,1
13,41,44465,62385,71960,85729,70,70,111312,109409,789,745,0
37,24,62449,54089,84729,82065,87,75,105588,109254,778,762,1
13,39,26925,47024,44092,75941,43,48,86526,72012,293,509,0
12,28,45513,60158,65049,82037,72,67,99937,94448,741,804,0
17,42,40200,59545,48461,77207,74,78,94030,72161,542,707,0
8,20,27240,34282,29286,46686,40,42,59935,46000,444,410,0
19,6,32180,23261,32903,24587,28,33,41742,47657,460,407,1
16,4,32197,19505,31353,12158,32,26,28320,40564,388,308,1
9,19,44549,56012,53244,70927,67,80,94982,78162,856,844,0
34,22,62949,54398,91232,73141,72,73,98924,114501,788,826,1
22,36,51928,62777,66515,85350,63,77,101550,96698,686,737,0
16,6,31312,25670,34973,24793,44,44,39182,49493,428,397,1
20,39,52161,60093,66118,87377,71,88,104845,103643,772,752,0
15,6,29223,23249,29354,22755,36,32,40611,41586,444,380,1
25,18,61968,54732,91439,71469,79,80,100959,114029,844,826,1
44,45,104486,101457,196170,160529,186,169,200025,244564,1487,1409,1
14,27,37357,53111,44407,72175,48,54,84952,72468,583,715,0
19,5,35047,23655,43670,30655,37,39,52187,52512,486,374,1
24,41,56389,64035,74815,92076,87,70,117084,108898,726,881,0
20,21,48727,58194,55748,91700,82,64,117778,81108,780,819,0
25,16,59385,44703,89308,57109,79,82,89810,107054,762,740,1
29,20,60239,50882,85356,66915,70,72,94717,106668,699,788,1
16,36,55269,69397,76310,109336,92,93,129559,104854,903,1007,0
26,14,50758,37405,65287,39613,59,63,59078,79208,675,601,1
19,8,34243,25339,37747,20932,32,24,41780,48112,446,374,1
24,38,75210,85371,127653,147234,138,87,178549,168297,1145,1143,0
29,13,61933,46506,70531,54598,69,74,86281,94169,793,835,1
29,17,58664,47552,80412,71101,80,78,105677,103314,816,796,1
27,6,49320,33187,56912,34966,81,64,62242,74920,662,583,1
39,13,63239,49882,95507,73924,79,71,107068,116655,803,796,1
15,34,44520,59699,52796,76480,76,60,89898,77692,636,762,0
6,20,23592,38697,23774,37569,29,41,44868,47034,314,469,0
20,13,44477,37877,51248,47863,51,41,69860,68699,674,644,1
32,33,83617,78611,117395,118125,140,140,150615,146042,1198,1055,1
28,19,52393,39671,65095,45569,58,65,68482,78322,605,540,1
16,20,57423,66803,56519,107389,87,101,131177,88223,914,916,0
24,11,45896,36147,67037,51917,65,51,76385,80098,609,578,1
29,17,60437,48567,99041,70890,77,77,101369,122737,787,716,1
14,6,41816,32192,38727,37175,39,46,54210,55868,535,517,1
18,24,52543,59689,80696,82782,100,71,106662,102926,831,766,0
36,37,89061,85509,170257,151377,135,115,194832,208871,1296,1241,1
17,3,33340,24708,33823,24694,42,33,41141,47502,522,464,1
18,11,58648,52397,73803,65089,89,76,98391,100017,849,862,1
40,31,80101,87597,119203,152652,134,109,190401,158804,1081,1226,0
27,27,65824,67050,90051,79272,124,110,98446,113017,1026,898,0
35,38,71220,77494,122589,141007,115,108,167863,146719,1002,963,0
22,41,48969,62673,77189,90357,74,89,112864,105796,699,733,0
35,32,89938,88837,188579,144938,124,151,185555,218106,1262,1291,1
26,28,64078,56992,98119,86625,91,66,116830,125868,834,878,1
18,23,42598,52358,62423,71286,67,58,93924,90527,672,737,0
25,12,53539,44663,66546,61061,62,51,81644,90892,645,743,1
18,23,54596,61392,77794,83075,72,76,106945,113907,893,886,0
16,6,31781,20765,30882,21107,33,25,34106,37106,411,288,1
13,7,41002,32390,36653,28899,47,66,50376,54302,640,621,1
23,36,64633,71801,105124,125074,90,108,151623,146014,870,985,0
29,22,73003,67568,95763,110202,117,102,147124,120457,1163,1035,1
19,24,55721,65411,87983,72459,77,73,99216,119163,840,980,0
18,25,51034,61315,64791,89618,95,81,110982,92207,767,898,0
14,6,29037,25319,30016,21649,39,37,30625,44416,424,461,1
42,29,75994,64874,119406,110479,72,103,154452,142963,953,1003,1
20,21,52295,53832,64516,80084,86,85,108278,91353,802,811,1
18,7,33790,25760,33814,27698,35,39,41260,43491,444,422,1
23,7,36121,24940,43437,29914,42,41,47524,56012,477,396,1
39,18,70136,51710,98002,77744,75,83,133338,117903,863,818,1
19,42,49554,65417,76407,96317,81,77,118222,97298,749,736,0
19,35,45270,61179,69596,90575,69,75,107362,106329,701,709,0
11,19,54843,65615,50851,74586,102,104,96610,83324,973,1045,0
22,12,45970,38450,52370,51167,53,55,75416,72435,654,646,1
12,34,38124,52021,51440,70349,54,70,86006,75094,593,678,0
28,26,56870,57043,73450,84643,81,70,100051,100178,809,713,1






























